ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Data Science,,FOUND
2,Python Programming,,FOUND
3,Jupyter Notebooks,2,PYENV
4,Data,1,FOUND
5,Variables,2,FOUND
6,Data Types,4|5,FOUND
7,Numerical Data,6,FOUND
8,Categorical Data,6,FOUND
9,Ordinal Data,8,FOUND
10,Nominal Data,8,FOUND
11,Measurement Scales,7|8|9|10,FOUND
12,Independent Variable,5|4,FOUND
13,Dependent Variable,5|4,FOUND
14,Dataset,4,FOUND
15,Observation,14,FOUND
16,Feature,14|12,FOUND
17,Target Variable,13|14,FOUND
18,Data Science Workflow,1|4,FOUND
19,Problem Definition,18,FOUND
20,Data Collection,18|19,FOUND
21,Python Installation,2,PYENV
22,Package Management,21,PYENV
23,Pip,22,PYENV
24,Conda Environment,22,PYENV
25,Virtual Environment,22,PYENV
26,IDE Setup,21,PYENV
27,VS Code,26,PYENV
28,Notebook Cells,3,PYENV
29,Code Cell,28,PYENV
30,Markdown Cell,28,PYENV
31,Cell Execution,29,PYENV
32,Kernel,3|31,PYENV
33,Import Statement,2,PYENV
34,Python Libraries,33|22,PYENV
35,Documentation,2,BEST
36,Lists,5,DSTRC
37,Dictionaries,5,DSTRC
38,Tuples,5,DSTRC
39,Arrays,36,DSTRC
40,Pandas Library,34|39,DSTRC
41,DataFrame,40,DSTRC
42,Series,40,DSTRC
43,Index,41,DSTRC
44,Column,41,DSTRC
45,Row,41,DSTRC
46,Data Loading,40|14,DSTRC
47,CSV Files,46,DSTRC
48,Read CSV,47|40,DSTRC
49,Data Inspection,41,DSTRC
50,Head Method,49,DSTRC
51,Tail Method,49,DSTRC
52,Shape Attribute,49,DSTRC
53,Info Method,49,DSTRC
54,Describe Method,49,DSTRC
55,Data Selection,41|43|44,DSTRC
56,Missing Values,41|4,CLEAN
57,NaN,56,CLEAN
58,Null Detection,57,CLEAN
59,Dropna Method,58,CLEAN
60,Fillna Method,58,CLEAN
61,Imputation,60|101,CLEAN
62,Data Type Conversion,6|41,CLEAN
63,Duplicate Detection,41,CLEAN
64,Duplicate Removal,63,CLEAN
65,Outliers,41|101,CLEAN
66,Outlier Detection,65|84,CLEAN
67,Data Validation,41|56,CLEAN
68,String Cleaning,41,CLEAN
69,Column Renaming,41,CLEAN
70,Data Filtering,55,CLEAN
71,Boolean Indexing,70|36,CLEAN
72,Query Method,70,CLEAN
73,Data Transformation,41,CLEAN
74,Feature Scaling,73|101,CLEAN
75,Normalization,74,CLEAN
76,Data Visualization,4|1,VIZ
77,Matplotlib Library,34|76,VIZ
78,Figure,77,VIZ
79,Axes,78,VIZ
