ConceptID,ConceptLabel
1,DS Definition
2,DS Importance
3,DS vs DA
4,DS Workflow
5,DS Roles
6,DS Data Collection
7,DS Data Cleaning
8,DS Data Exploration
9,DS Feature Engineering
10,DS Modeling
11,DS Evaluation
12,DS Deployment
13,Business DS Needs
14,Business DS Impact
15,Business DS Examples
16,Python DataTypes
17,Python Data Structures
18,Python Control
19,Python Functions
20,Python OOP
21,Python File Handling
22,Python Exceptions
23,Python Debugging
24,Python Libraries Intro
25,AI Intro
26,AI Learn Python
27,AI Code Assistants
28,AI Learning Resources
29,AI Ethics
30,NumPy Intro
31,NumPy Arrays
32,NumPy Broadcasting
33,NumPy Advanced Indexing
34,NumPy Math Functions
35,Pandas Intro
36,Pandas DataFrames
37,Pandas IO
38,Pandas Selection
39,Pandas Cleaning
40,Pandas Missing Data
41,Pandas Merging
42,Pandas Grouping
43,Pandas Pivot
44,Pandas Time Series
45,Stats Intro
46,Stats Descriptive
47,Stats Inferential
48,Stats Distributions
49,SciPy Intro
50,Statsmodels Intro
51,Stats Hypothesis
52,Stats Regression
53,ML Intro
54,ML Supervised
55,ML Unsupervised
56,Sklearn Intro
57,ML Preprocessing
58,ML Feature Selection
59,ML Cross Validation
60,ML Classification
61,ML Regression
62,ML Clustering
63,ML Evaluation
64,NetworkX Intro
65,NetworkX Create
66,NetworkX Algorithms
67,NetworkX Visualize
68,Viz Importance
69,Matplotlib Intro
70,Seaborn Intro
71,Plotly Intro
72,Plotly Basic
73,Plotly Interactive
74,Plotly Dash
75,NLP Intro
76,NLP Text Preprocessing
77,NLP Tokenization
78,NLP Word Embeddings
79,NLTK Intro
80,Spacy Intro
81,NLP Sentiment
82,NLP Text Classify
83,VectorStores Intro
84,Faiss Intro
85,Annoy Intro
86,VectorStores Apps
87,GenAI Intro
88,LangChain Intro
89,LangChain Pipelines
90,LangChain COT
91,LlamaIndex Intro
92,LlamaIndex Indexing
93,LlamaIndex Querying
94,Project Ideas
95,Project Data Analysis
96,Project ML Model
97,Project NLP
98,Project Visualization
99,Project Graph Analysis
100,Project AI Chatbot
101,Project Planning
102,Project Dataset
103,Project Teams
104,Project Presentation
105,Project Documentation
106,Project Deployment
107,ML Deep Learning
108,TensorFlow Intro
109,PyTorch Intro
110,DL Neural Networks
111,DL CNNs
112,DL RNNs
113,DL Transfer Learning
114,DL NLP Transformers
115,DL NLP BERT
116,Time Series Intro
117,Time Series Decomposition
118,Time Series ARIMA
119,Time Series Forecasting
120,Recommender Intro
121,Recommender Collab Filter
122,Recommender Content Based
123,Recommender Hybrid
124,DataEng Intro
125,DataEng ETL
126,DataEng Data Warehouses
127,DataEng Data Lakes
128,ML Reinforcement
129,ML GANs
130,ML AutoML
131,ML Explainability
132,Big Data Intro
133,PySpark Intro
134,DS in the Cloud
135,Comparing Commercial Cloud Products
136,Docker Intro
137,Ethics AI
138,Privacy Data
139,Bias Fairness
140,Git Intro
141,GitHub Intro
142,Viz Best Practices
143,Dask Intro
144,CaseStudies Intro
145,Communication Skills
146,Critical Thinking Skills
147,Leadership Skills
148,Final Review
149,Next Steps
150,Course Evaluation
151,Data Storytelling
