ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,DS Definition,,1
2,DS Importance,1,1
3,DS vs DA,1,2
4,DS Workflow,1|2|3,1
5,DS Roles,1|2,1
6,DS Data Collection,4,5
7,DS Data Cleaning,6,5
8,DS Data Exploration,7,5
9,DS Feature Engineering,8,5
10,DS Modeling,9,7
11,DS Evaluation,10,7
12,DS Deployment,11,7
13,Business DS Needs,1|2,2
14,Business DS Impact,13,2
15,Business DS Examples,13,2
16,Python DataTypes,,3
17,Python Data Structures,16,3
18,Python Control,16,3
19,Python Functions,17|18,3
20,Python OOP,19,3
21,Python File Handling,19,3
22,Python Exceptions,19,3
23,Python Debugging,22,3
24,Python Libraries Intro,19,4
25,AI Intro,,10
26,AI Learn Python,25,10
27,AI Code Assistants,26,10
28,AI Learning Resources,26,10
29,AI Ethics,25,10
30,NumPy Intro,24,4
31,NumPy Arrays,30,4
32,NumPy Broadcasting,31,4
33,NumPy Advanced Indexing,31,4
34,NumPy Math Functions,31,4
35,Pandas Intro,24,4
36,Pandas DataFrames,35,5
37,Pandas IO,36,5
38,Pandas Selection,36,5
39,Pandas Cleaning,36,5
40,Pandas Missing Data,39,5
41,Pandas Merging,36,5
42,Pandas Grouping,36,5
43,Pandas Pivot,36,5
44,Pandas Time Series,36,5
45,Stats Intro,,6
46,Stats Descriptive,45,6
47,Stats Inferential,46,6
48,Stats Distributions,47,6
49,SciPy Intro,24,4
50,Statsmodels Intro,24,4
51,Stats Hypothesis,47|48|49|50,6
52,Stats Regression,51,6
53,ML Intro,52,7
54,ML Supervised,53,7
55,ML Unsupervised,53,7
56,Sklearn Intro,54|55,4
57,ML Preprocessing,56,7
58,ML Feature Selection,57,7
59,ML Cross Validation,57,7
60,ML Classification,54|56,7
61,ML Regression,54|56,7
62,ML Clustering,55|56,7
63,ML Evaluation,60|61|62,7
64,NetworkX Intro,24,4
65,NetworkX Create,64,4
66,NetworkX Algorithms,65,7
67,NetworkX Visualize,66,8
68,Viz Importance,,8
69,Matplotlib Intro,68|24,4
70,Seaborn Intro,69,4
71,Plotly Intro,69,4
72,Plotly Basic,71,8
73,Plotly Interactive,72,8
74,Plotly Dash,73,8
75,NLP Intro,,9
76,NLP Text Preprocessing,75,9
77,NLP Tokenization,76,9
78,NLP Word Embeddings,77,9
79,NLTK Intro,75,4
80,Spacy Intro,75,4
81,NLP Sentiment,77|78|79|80,9
82,NLP Text Classify,81,9
83,VectorStores Intro,,10
84,Faiss Intro,83,4
85,Annoy Intro,83,4
86,VectorStores Apps,84|85,10
87,GenAI Intro,,10
88,LangChain Intro,87,4
89,LangChain Pipelines,88,10
90,LangChain COT,88,10
91,LlamaIndex Intro,87,4
92,LlamaIndex Indexing,91,10
93,LlamaIndex Querying,92,10
94,Project Ideas,93,1
95,Project Data Analysis,35|36|44,5
96,Project ML Model,53|63,7
97,Project NLP,75|82,9
98,Project Visualization,68|69|70|71|72|73|74,8
99,Project Graph Analysis,64|67,7
100,Project AI Chatbot,87|88|89|90|91|92|93,10
101,Project Planning,1|4,1
102,Project Dataset,6|36,5
103,Project Teams,101,1
104,Project Presentation,98,8
105,Project Documentation,101,1
106,Project Deployment,12,7
107,ML Deep Learning,53,7
108,TensorFlow Intro,107,4
109,PyTorch Intro,107,4
110,DL Neural Networks,107,7
111,DL CNNs,110,7
112,DL RNNs,110,7
113,DL Transfer Learning,110,7
114,DL NLP Transformers,112,9
115,DL NLP BERT,114,9
116,Time Series Intro,,5
117,Time Series Decomposition,116,5
118,Time Series ARIMA,117,5
119,Time Series Forecasting,118,5
120,Recommender Intro,53,7
121,Recommender Collab Filter,120,7
122,Recommender Content Based,120,7
123,Recommender Hybrid,121|122,7
124,DataEng Intro,,5
125,DataEng ETL,124,5
126,DataEng Data Warehouses,125,5
127,DataEng Data Lakes,125,5
128,ML Reinforcement,53,7
129,ML GANs,107,7
130,ML AutoML,53,7
131,ML Explainability,53,7
132,Big Data Intro,,5
133,PySpark Intro,132,4
134,Cloud Intro,,10
135,AWS Intro,134,10
136,Docker Intro,12,10
137,Ethics AI,25,10
138,Privacy Data,,1
139,Bias Fairness,53,7
140,Git Intro,,3
141,GitHub Intro,140,3
142,Viz Best Practices,68|69,8
143,Dask Intro,35|132,4
144,CaseStudies Intro,,1
145,Communication Skills,,1
146,Critical Thinking Skills,,1
147,Leadership Skills,,1
148,Final Review,1,1
149,Next Steps,148,1
150,Course Evaluation,148,1
